metric_id,source,name_cn,dtype,time_grain,update_freq,value_range,business_tag,null_semantics
FIN_0001,财务,营业收入,金额,季,季度/年度,"[0, +∞)",盈利能力,无记录、0值和缺失需区分
FIN_0002,财务,营业成本,金额,季,季度/年度,"[0, +∞)",盈利能力,无记录、0值和缺失需区分
FIN_0003,财务,利润总额,金额,季,季度/年度,"(-∞, +∞)",盈利能力,无记录、0值和缺失需区分
FIN_0004,财务,净利润,金额,季,季度/年度,"(-∞, +∞)",盈利能力,无记录、0值和缺失需区分
FIN_0005,财务,资产总额,金额,季,季度/年度,"[0, +∞)",偿债能力,无记录、0值和缺失需区分
FIN_0006,财务,负债总额,金额,季,季度/年度,"[0, +∞)",偿债能力,无记录、0值和缺失需区分
FIN_0007,财务,所有者权益合计,金额,季,季度/年度,"(-∞, +∞)",偿债能力,无记录、0值和缺失需区分
FIN_0008,财务,应收账款净额,金额,季,季度/年度,"[0, +∞)",经营稳定性,无记录、0值和缺失需区分
FIN_0009,财务,存货净额,金额,季,季度/年度,"[0, +∞)",经营稳定性,无记录、0值和缺失需区分
FIN_0010,财务,应付账款,金额,季,季度/年度,"[0, +∞)",经营稳定性,无记录、0值和缺失需区分
FIN_0011,财务,经营活动产生的现金流量净额,金额,季,季度/年度,"(-∞, +∞)",偿债能力,无记录、0值和缺失需区分
FIN_0012,财务,资产负债率,比率,季,季度/年度,"[0, +∞)，比例类需按口径复核是否限定在[0,1]",偿债能力,无法计算、未采集和缺失需区分
FIN_0013,财务,流动比率,比率,季,季度/年度,"[0, +∞)，比例类需按口径复核是否限定在[0,1]",偿债能力,无法计算、未采集和缺失需区分
FIN_0014,财务,毛利率,比率,季,季度/年度,"[0, +∞)，比例类需按口径复核是否限定在[0,1]",盈利能力,无法计算、未采集和缺失需区分
FIN_0015,财务,应收账款周转天数,天数,季,季度/年度,"[0, +∞)",经营稳定性,无法计算、未采集和缺失需区分
FIN_0016,财务,存货周转天数,天数,季,季度/年度,"[0, +∞)",经营稳定性,无法计算、未采集和缺失需区分
FIN_0017,财务,营业收入同比增长率,比率,季,季度/年度,"(-∞, +∞)",盈利能力,无法计算、未采集和缺失需区分
